OBJECTID *,Shape *,Lat_Lon,Lat_Lon_X,Lat_Lon_Y,Lat,Lon,Artifbright,Radiance,AvgLux,Visit,People_Initials,Date,Moon,DailyMaxTemp_F,DailyMaxTemp_C,Day_Temp_30min,MeanTemp_10to4,Day_Weather,HOBO_ID,Stick_No,Trap,Day_Start_Time,Trap_Pickup_Time,Day_Total_Skeet,Day_Total_albo,Day_Ae_tris,Day_Ae_vex,Day_Ae_jap,Day_Cq_pert,Day_Cx_sp,Day_An_quad,Day_An_punct,Day_An_sp,SBCC,Notes_Field,Night_Total_Skeet,Night_Total_albo,Night_Ae_albo_F,Night_Ae_albo_M,Night_Ae_cana_F,Night_Ae_cana_M,Night_Ae_hender_F,Night_Ae_hender_M,Night_Ae_japo_F,Night_Ae_japo_M,Night_Ae_tris_F,Night_Ae_tris_M,Night_Ae_trivit_F,Night_Ae_trivit_M,Night_Ae_vex_F,Night_Ae_vex_M,Night_Cq_pert_F,Night_Cq_pert_M,Night_Cx_sp_F,Night_Cx_sp_M,Night_An_quad_F,Night_An_quad_M,Night_An_punct_F,Night_An_punct_M,Night_Ps_howar_F,Night_Ps_howar_M,Unknown,nlcd_2021_impervious_descriptor_l48_20230630,nlcd_2021_impervious_l48_20230630,nlcd_2021_land_cover_l48_20230630
1,Point,"38.59591, -90.60173",-90.60173,38.59591,38.59591,-90.60173,2070,8.5,12.26,1,LJ_LT,7/11/2023,0.34,96,35.6,NA,NA,NA,9548,NA,C,18:49,6:45,6,5,0,0,1,0,0,0,0,0,Y,"I japo (maybe) had white spot on head, few stripes on legs near joints",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,43,22
2,Point,"38.59823, -90.5981",-90.5981,38.59823,38.59823,-90.5981,2320,8.3,0,1,LJ_LT,7/11/2023,0.34,96,35.6,29.77,22.41,NA,7233,NA,B,18:14,6:32,18,18,0,0,0,0,0,0,0,0,Y,<Null>,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,24,30,22
3,Point,"38.65386, -90.19804",-90.19804,38.65386,38.65386,-90.19804,9980,58.3,0.96,1,LJ_LT,7/12/2023,0.25,95,35,29.68,22.6,NA,7233,NA,A,18:03,6:23,39,38,0,1,0,0,0,0,0,0,Y,<Null>,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,24,77,23
4,Point,"38.6018, -90.25168",-90.25168,38.6018,38.6018,-90.25168,7810,32,0.06,1,LJ_LT,7/12/2023,0.25,95,35,NA,22.2,raining,6317,NA,D,NA,6:55,2,2,0,0,0,0,0,0,0,0,Y,2 females @ 20:10,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,24,36,22
5,Point,"38.59508, -90.25113",-90.25113,38.59508,38.59508,-90.25113,7800,73.8,0.24,1,LJ_LT,7/12/2023,0.25,95,35,26.94,23.1,raining,6343,NA,C,19:34,6:43,0,0,0,0,0,0,0,0,0,0,N,<Null>,7,6,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,22,65,23
6,Point,"38.60329, -90.26452",-90.26452,38.60329,38.60329,-90.26452,7650,53.8,0.26,1,LJ_LT,7/12/2023,0.25,95,35,NA,21.82,raining,6318,NA,E,NA,7:00,3,3,0,0,0,0,0,0,0,0,Y,<Null>,7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,22,52,23
7,Point,"38.61176, -90.31839",-90.31839,38.61176,38.61176,-90.31839,6480,48.7,0.04,1,LJ_LT,7/17/2023,0,90,32.2,30.5,21.5,overcast,6343,8,C,18:28,6:54,42,40,0,1,1,0,0,0,0,0,Y,M+F,11,7,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,24,57,23
8,Point,"38.60555, -90.3557",-90.3557,38.60555,38.60555,-90.3557,4910,33.6,0.08,1,LJ_LT,7/17/2023,0,90,32.2,25,20.89,sunny,8327,7,D,19:06,6:39,42,41,0,0,1,0,0,0,0,0,Y,M+F,12,5,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,24,46,22
9,Point,"38.64281, -90.35817",-90.35817,38.64281,38.64281,-90.35817,5270,17.2,0.06,1,LJ_LT,7/17/2023,0,90,32.2,30,23.5,overcast,6319,10,B,17:54,5:53,10,10,0,0,0,0,0,0,0,0,Y,M+F,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,24,30,22
10,Point,"38.62491, -90.38063",-90.38063,38.62491,38.62491,-90.38063,3810,9.2,0,1,LJ_LT,7/17/2023,0,90,32.2,24.5,21.79,sunny,NA,9,E,19:59,6:23,3,2,0,1,0,0,0,0,0,0,Y,M+F,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,22,25,22
