,Lat_Lon,Lat,Lon,Artifbright,Radiance,AvgLux,Visit,People_Initials,Date,Moon,DailyMaxTemp_F,DailyMaxTemp_C,Day_Temp_30min,MeanTemp_10to4,Day_Weather,HOBO_ID,Stick_No,Trap,Day_Start_Time,Trap_Pickup_Time,Day_Total_Skeet,Day_Total_albo,Day_Ae_tris,Day_Ae_vex,Day_Ae_jap,Day_Cq_pert,Day_Cx_sp,Day_An_quad,Day_An_punct,Day_An_sp,SBCC,Notes_Field,Night_Total_Skeet,Night_Total_albo,Night_Ae_albo_F,Night_Ae_albo_M,Night_Ae_cana_F,Night_Ae_cana_M,Night_Ae_hender_F,Night_Ae_hender_M,Night_Ae_japo_F,Night_Ae_japo_M,Night_Ae_tris_F,Night_Ae_tris_M,Night_Ae_trivit_F,Night_Ae_trivit_M,Night_Ae_vex_F,Night_Ae_vex_M,Night_Cq_pert_F,Night_Cq_pert_M,Night_Cx_sp_F,Night_Cx_sp_M,Night_An_quad_F,Night_An_quad_M,Night_An_punct_F,Night_An_punct_M,Night_Ps_howar_F,Night_Ps_howar_M,Unknown
1,"38.59591, -90.60173",38.59591,-90.60173,2070,8.5,12.26,1,LJ_LT,7/11/2023,0.34,96,35.6,NA,NA,NA,9548,NA,C,67740,24300,6,5,0,0,1,0,0,0,0,0,Y,"I japo (maybe) had white spot on head, few stripes on legs near joints",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,"38.59823, -90.5981",38.59823,-90.5981,2320,8.3,0,1,LJ_LT,7/11/2023,0.34,96,35.6,29.77,22.41,NA,7233,NA,B,65640,23520,18,18,0,0,0,0,0,0,0,0,Y,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3,"38.65386, -90.19804",38.65386,-90.19804,9980,58.3,0.96,1,LJ_LT,7/12/2023,0.25,95,35,29.68,22.6,NA,7233,NA,A,64980,22980,39,38,0,1,0,0,0,0,0,0,Y,NA,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4,"38.6018, -90.25168",38.6018,-90.25168,7810,32,0.06,1,LJ_LT,7/12/2023,0.25,95,35,NA,22.2,raining,6317,NA,D,NA,24900,2,2,0,0,0,0,0,0,0,0,Y,2 females @ 20:10,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
5,"38.59508, -90.25113",38.59508,-90.25113,7800,73.8,0.24,1,LJ_LT,7/12/2023,0.25,95,35,26.94,23.1,raining,6343,NA,C,70440,24180,0,0,0,0,0,0,0,0,0,0,N,NA,7,6,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,"38.60329, -90.26452",38.60329,-90.26452,7650,53.8,0.26,1,LJ_LT,7/12/2023,0.25,95,35,NA,21.82,raining,6318,NA,E,NA,25200,3,3,0,0,0,0,0,0,0,0,Y,NA,7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
7,"38.61176, -90.31839",38.61176,-90.31839,6480,48.7,0.04,1,LJ_LT,7/17/2023,0,90,32.2,30.5,21.5,overcast,6343,8,C,66480,24840,42,40,0,1,1,0,0,0,0,0,Y,M+F,11,7,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0
8,"38.60555, -90.3557",38.60555,-90.3557,4910,33.6,0.08,1,LJ_LT,7/17/2023,0,90,32.2,25,20.89,sunny,8327,7,D,68760,23940,42,41,0,0,1,0,0,0,0,0,Y,M+F,12,5,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0
9,"38.64281, -90.35817",38.64281,-90.35817,5270,17.2,0.06,1,LJ_LT,7/17/2023,0,90,32.2,30,23.5,overcast,6319,10,B,64440,21180,10,10,0,0,0,0,0,0,0,0,Y,M+F,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
10,"38.62491, -90.38063",38.62491,-90.38063,3810,9.2,0,1,LJ_LT,7/17/2023,0,90,32.2,24.5,21.79,sunny,NA,9,E,71940,22980,3,2,0,1,0,0,0,0,0,0,Y,M+F,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11,"38.64172, -90.39792",38.64172,-90.39792,3680,16.8,0,1,LJ_LT,7/17/2023,0,90,32.2,27.11,21.13,overcast,4456,NA,A,62640,21900,13,13,0,0,0,0,0,0,0,0,Y,M+F,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,"38.64634, -90.26334",38.64634,-90.26334,9060,91.7,0,1,LJ_EP_KW,7/18/2023,0.01,84,28.9,26.68,23.11,sunny,6343,NA,C,66840,25860,11,11,0,0,0,0,0,0,0,0,Y,M+F,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13,"38.64735, -90.25915",38.64735,-90.25915,9060,90.6,8.48,1,LJ_EP_KW,7/18/2023,0.01,84,28.9,33.25,24.83,sunny,4456,NA,A,63960,25320,4,4,0,0,0,0,0,0,0,0,N,F,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
14,"38.64683, -90.26342",38.64683,-90.26342,9060,91.7,0,1,LJ_EP_KW,7/18/2023,0.01,84,28.9,27.5,24.61,sunny,8327,NA,D,68040,26220,3,3,0,0,0,0,0,0,0,0,Y,"M+F, huge! Katie impressed by size",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,"38.64649, -90.26176",38.64649,-90.26176,9060,90.6,0,1,LJ_EP_KW,7/18/2023,0.01,84,28.9,27.2,23.24,sunny,6318,NA,B,65220,27600,3,3,0,0,0,0,0,0,0,0,Y,2F + 1M,3,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
16,"38.64174, -90.25992",38.64174,-90.25992,10300,151.1,1.14,1,LJ_EP_KW,7/18/2023,0.01,84,28.9,25.44,23.21,sunny,6319,NA,E,69840,27120,1,1,0,0,0,0,0,0,0,0,N,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,"38.62949, -90.29251",38.62949,-90.29251,7770,54.5,0.14,1,LJ_KD,7/19/2023,0.03,87,30.6,28.1,25.05,overcast,6318,NA,B,64080,24120,31,31,0,0,0,0,0,0,0,0,Y,M+F,7,7,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,"38.6108, -90.25575",38.6108,-90.25575,7940,38.2,0.34,1,LJ_KD,7/19/2023,0.03,87,30.6,26.72,24.63,overcast,8327,NA,D,68460,22740,22,22,0,0,0,0,0,0,0,0,Y,M+F,8,6,4,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
19,"38.60546, -90.34378",38.60546,-90.34378,5250,27.2,0,1,LJ_KD,7/19/2023,0.03,87,30.6,27.5,25.2,overcast,6319,7,E,70740,25800,2,2,0,0,0,0,0,0,0,0,N,F,4,3,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
20,"38.62458, -90.3037",38.62458,-90.3037,7280,48.2,0.14,1,LJ_KD,7/19/2023,0.03,87,30.6,28.83,24.58,overcast,4456,NA,A,62400,24660,5,5,0,0,0,0,0,0,0,0,Y,M+F,4,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
21,"38.62639, -90.28543",38.62639,-90.28543,8270,112.7,0.12,1,LJ_KD,7/19/2023,0.03,87,30.6,27.24,25.5,overcast,6343,NA,C,66360,23640,12,12,0,0,0,0,0,0,0,0,Y,M+F,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
22,"38.7532, -90.81357",38.7532,-90.81357,1130,11.8,0,1,EU,7/20/2023,0.07,93,33.9,24.79,20.7,sunny,6319,NA,E,78360,24000,1,0,0,0,0,0,0,0,0,1,N,NA,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0
23,"38.43289, -90.44601",38.43289,-90.44601,1190,2.4,0.02,1,LJ_EU,7/20/2023,0.07,93,33.9,28.01,22.48,sunny,6318,NA,B,67440,29520,4,4,0,0,0,0,0,0,0,0,Y,lost suction and skeets,5,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
24,"38.37769, -90.41465",38.37769,-90.41465,1020,3.1,0,1,LJ_EU,7/20/2023,0.07,93,33.9,26.64,20.26,sunny,6343,NA,C,70020,30600,3,3,0,0,0,0,0,0,0,0,Y,M+F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,"38.52647, -90.56039",38.52647,-90.56039,1120,1.3,0,1,LJ_EU,7/20/2023,0.07,93,33.9,26.9,23.68,sunny,8327,NA,D,73080,26400,4,4,0,0,0,0,0,0,0,0,Y,NA,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,"38.5387, -90.53078",38.5387,-90.53078,1700,1.7,0,1,LJ_EU,7/20/2023,0.07,93,33.9,36.46,20.56,sunny,4456,NA,A,61860,33000,1,1,0,0,0,0,0,0,0,0,Y,vert hot! Trap next to breeding site,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
27,"38.61113, -90.27887",38.61113,-90.27887,7570,56.1,2.8,1,LJ_TR,7/24/2023,0.37,93,33.9,34.15,23.5,cloudy,4456,7,A,62220,22500,2,2,0,0,0,0,0,0,0,0,Y,NA,13,10,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
28,"38.60357, -90.26492",38.60357,-90.26492,7650,53.8,0,1,LJ_TR,7/24/2023,0.37,93,33.9,30.5,26.83,cloudy,8327,8,D,67080,24480,48,48,0,0,0,0,0,0,0,0,Y,so many,92,89,31,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
29,"38.5972, -90.27284",38.5972,-90.27284,7710,75.6,0.02,1,LJ_TR,7/24/2023,0.37,93,33.9,30,23.38,cloudy,6343,1,C,65460,23880,18,17,0,0,0,0,0,0,0,1,Y,NA,19,16,11,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
30,"38.59572, -90.2895",38.59572,-90.2895,6920,63.5,1.36,1,LJ_TR,7/24/2023,0.37,93,33.9,29.81,23.34,cloudy,6318,10,B,63720,23220,14,14,0,0,0,0,0,0,0,0,Y,way lots of tigers,10,10,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,"38.60209, -90.25852",38.60209,-90.25852,7650,42.4,0.04,1,LJ_TR,7/24/2023,0.37,93,33.9,29.5,25.46,cloudy,6319,9,E,68460,24960,33,33,0,0,0,0,0,0,0,0,Y,so many; HOBO power reset,6,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
32,"38.61249, -90.25454",38.61249,-90.25454,7940,38.2,0.92,1,LJ_TR,7/25/2023,0.46,98,36.7,37.5,30.88,sunny,6343,1,C,66120,22860,14,14,0,0,0,0,0,0,0,0,Y,NA,27,26,9,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
33,"38.63979, -90.25516",38.63979,-90.25516,10500,150.6,1.2,1,LJ_TR,7/25/2023,0.46,98,36.7,35,29.78,cloudy,8327,8,D,67920,21660,3,3,0,0,0,0,0,0,0,0,Y,several flying in garden but not hostseeking; not loads like other houses,23,20,11,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
34,"38.64851, -90.28146",38.64851,-90.28146,8450,93.9,0.16,1,LJ_TR,7/25/2023,0.46,98,36.7,35.6,30.08,sunny,4456,7,A,62460,24600,1,1,0,0,0,0,0,0,0,0,N,NA,8,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,1
35,"38.61469, -90.24233",38.61469,-90.24233,9240,67.2,0.06,1,LJ_TR,7/25/2023,0.46,98,36.7,30,25.83,sunny,6318,10,B,64680,23340,17,17,0,0,0,0,0,0,0,0,Y,so many; several males,31,29,16,13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
36,"38.63945, -90.25653",38.63945,-90.25653,10500,150.6,0.02,1,LJ_TR,7/25/2023,0.46,98,36.7,32.5,29.1,cloudy,6319,9,E,69540,21960,57,56,0,1,0,0,0,0,0,0,Y,NA,49,47,31,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
37,"38.65192, -90.3011",38.65192,-90.3011,7370,84,0.02,1,LJ_KD,7/26/2023,0.56,95,35,30,27.35,sunny,6343,1,C,65940,24600,18,18,0,0,0,0,0,0,0,0,N,NA,5,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
38,"38.63951, -90.30644",38.63951,-90.30644,7200,46.5,0.38,1,LJ_KD,7/26/2023,0.56,95,35,28,26.17,sunny,8327,8,D,67380,25500,29,28,0,1,0,0,0,0,0,0,Y,NA,24,24,16,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,"38.6509, -90.30732",38.6509,-90.30732,7370,82.3,0,1,LJ_KD,7/26/2023,0.56,95,35,29,26.67,sunny,4456,7,A,62700,23400,7,7,0,0,0,0,0,0,0,0,N,NA,7,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
40,"38.65211, -90.30701",38.65211,-90.30701,7370,82.3,0,1,LJ_KD,7/26/2023,0.56,95,35,32,28.34,sunny,6318,10,B,63780,24180,22,22,0,0,0,0,0,0,0,0,Y,NA,22,20,19,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
41,"38.65606, -90.38944",38.65606,-90.38944,3790,14.9,0.08,1,LJ_LT,7/27/2023,0.67,100,37.8,32.5,26.42,sunny,6343,10,C,66420,27000,0,0,0,0,0,0,0,0,0,0,Y,"one or two; very Hot; error with stick number written, 10 written twice for two different sites",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
